Courier ID,Courier Name,Service Provider,Mode,Business Type,Metro to Metro (Forward),Metro to Metro (RTO),Metro to Metro (Forward Slabs),Metro to Metro (RTO Slabs),Rest of India (Forward),Rest of India (RTO),Rest of India (Forward Slabs),Rest of India (RTO Slabs),Special Zone (Forward),Special Zone (RTO),Special Zone (Forward Slabs),Special Zone (RTO Slabs),Within City (Forward),Within City (RTO),Within City (Forward Slabs),Within City (RTO Slabs),Within Region (Forward),Within Region (RTO),Within Region (Forward Slabs),Within Region (RTO Slabs),Within State (Forward),Within State (RTO),Within State (Forward Slabs),Within State (RTO Slabs),COD Charges,COD Percent,Other Charges
,Delhivery Air,Delhivery,Air,B2C,63,63,56,56,70,70,56.0,56.0,83,83,74.0,74.0,37,37,34.0,34.0,70,70,56.0,56.0,51,51,40,40,39,1.8,NA
,Delhivery Surface 0.5Kg,Delhivery,Surface,B2C,47,47,43,43,53,53,43.0,43.0,65,65,63.0,63.0,30,30,28.0,28.0,53,53,43.0,43.0,41,41,36,36,39,1.8,NA
,Delhivery Surface 10Kg,Delhivery,Surface,B2C,278,278,22,22,290,290,24.0,24.0,410,410,30.5,30.5,166,166,16.0,16.0,290,290,24.0,24.0,231,231,19,19,35,1.5,NA
,Delhivery Surface 5KG,Delhivery,Surface,B2C,174,174,33,33,197,197,39.0,39.0,231,231,45.0,45.0,150,150,29.0,29.0,197,197,39.0,39.0,161,161,31,31,38,1.8,NA
,Delhivery Heavy MPS,Delhivery,Surface,B2C,462,462,21,21,525,525,23.0,23.0,694,694,31.5,31.5,296,296,15.0,15.0,525,525,23.0,23.0,421,421,19,19,35,1.5,NA
,Delhivery 2Kg,Delhivery,Surface,B2C,95,95,34,34,99,99,35.0,35.0,126,126,51.0,51.0,78,78,30.0,30.0,99,99,35.0,35.0,87,87,32,32,30,1.5,NA
,Delhivery 1Kg,Delhivery,Surface,B2C,68,68,35,35,74,74,35.0,35.0,100,100,44.0,44.0,52,52,33.0,33.0,74,74,35.0,35.0,61,61,34,34,34,1.7,NA
,XpressBees 0.5 Kg,XpressBees,Surface,B2C,40,40,26,26,43,43,31.0,31.0,59,59,38.0,38.0,33,33,18.0,18.0,43,43,31.0,31.0,37,37,21,21,27,1.5,NA
,XpressBees 5Kg,XpressBees,Surface,B2C,163,163,30,30,173,173,37.0,37.0,226,226,40.0,40.0,128,128,21.0,21.0,173,173,37.0,37.0,153,153,25,25,32,1.8,NA
,XpressBees 10Kg,XpressBees,Surface,B2C,266,266,26,26,275,275,29.0,29.0,360,360,36.0,36.0,159,159,16.0,16.0,275,275,29.0,29.0,198,198,20,20,30,1.5,NA
